id,name,close ,up,up%,vol,fi_buy,fi_sell,fi_net,fi_ho,hi_hora,tr_buy,tr_sell,tr_net,se_buy,se_sell,se_net,ma_buy,ma_sell,ma_net
205,19'02/18,71,0.7,1,"24,104","7,533","12,730","-5,197","5,817,331",42,7,0,7,"1,530",74,"1,456","9,070","12,804","-3,734"
206,19'02/19,72,1,1.41,"57,111","38,284","39,828","-1,544","5,809,978",41.9,0,146,-146,"1,200",971,229,"39,484","40,945","-1,461"
207,19'02/20,73.2,1.2,1.67,"47,551","26,531","20,130","6,401","5,812,165",41.9,163,27,136,"2,951",490,"2,461","29,645","20,647","8,998"
208,19'02/21,73.8,0.6,0.82,"29,935","16,243","10,451","5,792","5,816,864",42,0,0,0,478,"1,106",-628,"16,721","11,557","5,164"
209,19'02/22,73.5,-0.3,-0.41,"24,033","12,561","16,330","-3,769","5,813,127",41.9,0,0,0,436,402,34,"12,997","16,732","-3,735"
210,19'02/25,73.4,-0.1,-0.14,"23,324","10,687","9,584","1,102","5,814,862",41.9,0,0,0,246,806,-560,"10,933","10,390",542
211,19'02/26,72.8,-0.6,-0.82,"21,006","12,636","12,239",397,"5,814,544",41.9,8,93,-85,143,904,-761,"12,787","13,236",-449
212,19'02/27,72.7,-0.1,-0.14,"24,413","15,464","19,363","-3,899","5,810,420",41.9,0,5,-5,300,252,48,"15,764","19,620","-3,856"
213,19'03/04,72.2,-0.5,-0.69,"35,967","15,658","26,738","-11,080","5,798,831",41.8,0,100,-100,546,"1,004",-458,"16,204","27,842","-11,638"
214,19'03/05,71.9,-0.3,-0.42,"15,266","3,545","10,802","-7,257","5,792,628",41.8,10,0,10,318,368,-50,"3,873","11,170","-7,297"
215,19'03/06,72.5,0.6,0.83,"12,965","5,862","4,641","1,221","5,794,003",41.8,0,0,0,345,530,-185,"6,207","5,171","1,036"
216,19'03/07,71.6,-0.9,-1.24,"18,712","6,983","13,450","-6,467","5,787,536",41.7,0,0,0,61,585,-524,"7,044","14,035","-6,991"
217,19'03/08,70.7,-0.9,-1.26,"26,489","6,751","19,033","-12,282","5,775,255",41.6,0,0,0,89,988,-899,"6,840","20,021","-13,181"
218,19'03/11,70.4,-0.3,-0.42,"16,883","5,789","11,219","-5,431","5,769,824",41.6,0,0,0,179,106,73,"5,968","11,325","-5,358"
219,19'03/12,71.2,0.8,1.14,"17,317","8,853","6,417","2,436","5,772,260",41.6,0,0,0,372,23,349,"9,225","6,440","2,785"
220,19'03/13,70.7,-0.5,-0.7,"15,571","5,092","11,112","-6,020","5,767,216",41.6,0,0,0,130,127,3,"5,222","11,239","-6,017"
221,19'03/14,71.1,0.4,0.57,"15,827","8,477","9,266",-789,"5,762,173",41.6,0,5,-5,73,84,-11,"8,550","9,355",-805
222,19'03/15,70.6,-0.5,-0.7,"39,456","28,776","29,056",-280,"5,761,893",41.6,0,"3,858","-3,858",433,62,371,"29,209","32,977","-3,767"
223,19'03/18,72,1.4,1.98,"19,366","7,273","4,388","2,885","5,764,777",41.6,0,0,0,"2,304",136,"2,168","9,577","4,524","5,053"
224,19'03/19,72.3,0.3,0.42,"15,695","8,215","5,148","3,067","5,767,844",41.6,0,0,0,152,"1,132",-980,"8,367","6,280","2,087"
225,19'03/20,72.4,0.1,0.14,"13,950","8,261","6,370","1,891","5,772,835",41.6,0,0,0,284,321,-37,"8,545","6,691","1,854"
226,19'03/21,73,0.6,0.83,"18,643","9,500","3,083","6,417","5,778,153",41.7,0,0,0,950,150,800,"10,450","3,233","7,217"
227,19'03/22,73,0,0,"15,792","6,809","4,318","2,491","5,780,650",41.7,47,6,41,176,403,-227,"7,032","4,727","2,305"
228,19'03/25,71.2,-1.8,-2.47,"20,944","4,685","13,874","-9,189","5,771,461",41.6,0,7,-7,231,"1,253","-1,022","4,916","15,134","-10,218"
229,19'03/26,71.8,0.6,0.84,"6,931","3,464","2,528",936,"5,772,655",41.6,0,12,-12,116,59,57,"3,580","2,599",981
230,19'03/27,71.9,0.1,0.14,"9,928","6,406","5,759",647,"5,773,092",41.6,0,7,-7,213,214,-1,"6,619","5,980",639
231,19'03/28,71.8,-0.1,-0.14,"7,847","4,785","3,845",940,"5,774,032",41.6,0,72,-72,63,254,-191,"4,848","4,171",677
232,19'03/29,73.5,1.7,2.37,"37,627","14,025","12,694","1,331","5,775,013",41.6,60,0,60,"3,318",591,"2,727","17,403","13,285","4,118"
